num_of_entries,num_people,weekday,hour,avergae_sum,average_intensity_per_person_per_log
145,33,Thursday,0,232.0,0.05
149,33,Wednesday,0,256.0,0.05
123,32,Saturday,0,349.0,0.09
126,33,Friday,0,296.0,0.07
150,33,Tuesday,0,209.0,0.04
120,32,Monday,0,195.0,0.05
121,32,Sunday,0,452.0,0.12
121,32,Sunday,1,286.0,0.07
122,32,Saturday,1,272.0,0.07
126,33,Friday,1,152.0,0.04
145,33,Thursday,1,145.0,0.03
120,32,Monday,1,109.0,0.03
149,33,Wednesday,1,141.0,0.03
150,33,Tuesday,1,219.0,0.04
122,32,Saturday,2,228.0,0.06
126,33,Friday,2,122.0,0.03
120,32,Monday,2,50.0,0.01
121,32,Sunday,2,220.0,0.06
145,33,Thursday,2,98.0,0.02
149,33,Wednesday,2,138.0,0.03
150,33,Tuesday,2,118.0,0.02
120,32,Monday,3,49.0,0.01
121,32,Sunday,3,49.0,0.01
122,32,Saturday,3,74.0,0.02
150,33,Tuesday,3,60.0,0.01
145,33,Thursday,3,46.0,0.01
149,33,Wednesday,3,33.0,0.01
126,33,Friday,3,103.0,0.02
121,32,Sunday,4,61.0,0.02
149,33,Wednesday,4,108.0,0.02
150,33,Tuesday,4,96.0,0.02
120,32,Monday,4,103.0,0.03
126,33,Friday,4,93.0,0.02
144,33,Thursday,4,66.0,0.01
122,32,Saturday,4,63.0,0.02
149,33,Wednesday,5,802.0,0.16
150,33,Tuesday,5,1241.0,0.25
120,32,Monday,5,887.0,0.23
144,33,Thursday,5,838.0,0.18
122,32,Saturday,5,75.0,0.02
126,33,Friday,5,682.0,0.16
121,32,Sunday,5,89.0,0.02
144,33,Thursday,6,1538.0,0.32
149,33,Wednesday,6,1231.0,0.25
150,33,Tuesday,6,1385.0,0.28
122,32,Saturday,6,336.0,0.09
125,33,Friday,6,1377.0,0.33
121,32,Sunday,6,342.0,0.09
120,32,Monday,6,1026.0,0.27
144,33,Thursday,7,1667.0,0.35
149,33,Wednesday,7,1504.0,0.31
150,33,Tuesday,7,1840.0,0.37
125,33,Friday,7,1729.0,0.42
120,32,Monday,7,1457.0,0.38
121,32,Sunday,7,791.0,0.2
122,32,Saturday,7,1005.0,0.26
150,33,Tuesday,8,2231.0,0.45
120,32,Monday,8,1969.0,0.51
144,33,Thursday,8,2193.0,0.46
149,33,Wednesday,8,2214.0,0.45
122,32,Saturday,8,1656.0,0.42
125,33,Friday,8,1951.0,0.47
121,32,Sunday,8,1442.0,0.37
144,33,Thursday,9,2109.0,0.44
149,33,Wednesday,9,2237.0,0.45
150,33,Tuesday,9,1935.0,0.39
125,33,Friday,9,1899.0,0.46
121,32,Sunday,9,1793.0,0.46
122,32,Saturday,9,2323.0,0.6
120,32,Monday,9,2030.0,0.53
149,33,Wednesday,10,2083.0,0.42
