num_of_entries,num_people,weekday,hour,cal_sum,average_cal_per_person_per_log
145,33,Thursday,0,10255.0,2.14
149,33,Wednesday,0,10542.0,2.14
123,32,Saturday,0,9063.0,2.3
126,33,Friday,0,9116.0,2.19
150,33,Tuesday,0,10500.0,2.12
120,32,Monday,0,8413.0,2.19
121,32,Sunday,0,9177.0,2.37
121,32,Sunday,1,8823.0,2.28
122,32,Saturday,1,8851.0,2.27
126,33,Friday,1,8759.0,2.11
145,33,Thursday,1,9951.0,2.08
120,32,Monday,1,8241.0,2.15
149,33,Wednesday,1,10319.0,2.1
150,33,Tuesday,1,10520.0,2.13
122,32,Saturday,2,8745.0,2.24
126,33,Friday,2,8664.0,2.08
120,32,Monday,2,8093.0,2.11
121,32,Sunday,2,8632.0,2.23
145,33,Thursday,2,9850.0,2.06
149,33,Wednesday,2,10272.0,2.09
150,33,Tuesday,2,10295.0,2.08
120,32,Monday,3,8093.0,2.11
121,32,Sunday,3,8153.0,2.11
122,32,Saturday,3,8315.0,2.13
150,33,Tuesday,3,10099.0,2.04
145,33,Thursday,3,9736.0,2.03
149,33,Wednesday,3,10015.0,2.04
126,33,Friday,3,8602.0,2.07
121,32,Sunday,4,8159.0,2.11
149,33,Wednesday,4,10249.0,2.08
150,33,Tuesday,4,10303.0,2.08
120,32,Monday,4,8248.0,2.15
126,33,Friday,4,8629.0,2.08
144,33,Thursday,4,9756.0,2.05
122,32,Saturday,4,8276.0,2.12
149,33,Wednesday,5,12402.0,2.52
150,33,Tuesday,5,13836.0,2.8
120,32,Monday,5,10798.0,2.81
144,33,Thursday,5,12169.0,2.56
122,32,Saturday,5,8281.0,2.12
126,33,Friday,5,10467.0,2.52
121,32,Sunday,5,8199.0,2.12
144,33,Thursday,6,13597.0,2.86
149,33,Wednesday,6,13290.0,2.7
150,33,Tuesday,6,13867.0,2.8
122,32,Saturday,6,8914.0,2.28
125,33,Friday,6,11933.0,2.89
121,32,Sunday,6,8805.0,2.27
120,32,Monday,6,10588.0,2.76
144,33,Thursday,7,13894.0,2.92
149,33,Wednesday,7,13995.0,2.85
150,33,Tuesday,7,14706.0,2.97
125,33,Friday,7,12993.0,3.15
120,32,Monday,7,11835.0,3.08
121,32,Sunday,7,9994.0,2.58
122,32,Saturday,7,10542.0,2.7
150,33,Tuesday,8,15865.0,3.21
120,32,Monday,8,12749.0,3.32
144,33,Thursday,8,14709.0,3.1
149,33,Wednesday,8,15543.0,3.16
122,32,Saturday,8,12307.0,3.15
125,33,Friday,8,13408.0,3.25
121,32,Sunday,8,11626.0,3.0
144,33,Thursday,9,14860.0,3.13
149,33,Wednesday,9,15540.0,3.16
150,33,Tuesday,9,15065.0,3.04
125,33,Friday,9,13333.0,3.23
121,32,Sunday,9,12821.0,3.31
122,32,Saturday,9,13978.0,3.58
120,32,Monday,9,13222.0,3.44
149,33,Wednesday,10,15003.0,3.05
150,33,Tuesday,10,16953.0,3.42
125,33,Friday,10,12530.0,3.04
143,33,Thursday,10,15830.0,3.35
120,32,Monday,10,14002.0,3.65
121,32,Sunday,10,14108.0,3.64
121,32,Saturday,10,14192.0,3.67
121,32,Saturday,11,15196.0,3.92
125,33,Friday,11,13480.0,3.27
141,33,Thursday,11,15437.0,3.32
149,33,Wednesday,11,15869.0,3.23
121,32,Sunday,11,13233.0,3.42
150,33,Tuesday,11,16297.0,3.29
120,32,Monday,11,12279.0,3.2
139,33,Thursday,12,16003.0,3.49
121,32,Sunday,12,13545.0,3.5
121,32,Saturday,12,15849.0,4.09
125,33,Friday,12,13677.0,3.32
150,33,Tuesday,12,18627.0,3.76
119,32,Monday,12,13680.0,3.59
147,33,Wednesday,12,16675.0,3.44
121,32,Sunday,13,14117.0,3.65
121,32,Saturday,13,17659.0,4.56
125,33,Friday,13,13783.0,3.34
119,32,Monday,13,13119.0,3.45
138,33,Thursday,13,14632.0,3.21
147,33,Wednesday,13,15911.0,3.28
150,33,Tuesday,13,16979.0,3.43
121,32,Saturday,14,16147.0,4.17
150,33,Tuesday,14,15993.0,3.23
119,32,Monday,14,12489.0,3.28
121,32,Sunday,14,14377.0,3.71
138,33,Thursday,14,16478.0,3.62
147,33,Wednesday,14,16671.0,3.44
125,33,Friday,14,14435.0,3.5
