num_of_entries,num_people,weekday,hour,avergae_sum,average_intensity_per_person_per_log
145,33,Thursday,0,3.8666709999999989,0.0
149,33,Wednesday,0,4.266668,0.0
123,32,Saturday,0,5.8166669999999989,0.0
126,33,Friday,0,4.9333359999999988,0.0
150,33,Tuesday,0,3.4833379999999994,0.0
120,32,Monday,0,3.2500009999999997,0.0
121,32,Sunday,0,7.533336,0.0
121,32,Sunday,1,4.766668,0.0
122,32,Saturday,1,4.533335,0.0
126,33,Friday,1,2.5333360000000003,0.0
145,33,Thursday,1,2.416673,0.0
120,32,Monday,1,1.8166680000000002,0.0
149,33,Wednesday,1,2.350004,0.0
150,33,Tuesday,1,3.6500049999999997,0.0
122,32,Saturday,2,3.8000039999999995,0.0
126,33,Friday,2,2.0333340000000004,0.0
120,32,Monday,2,0.8333379999999998,0.0
121,32,Sunday,2,3.6666680000000005,0.0
145,33,Thursday,2,1.6333360000000001,0.0
149,33,Wednesday,2,2.3000030000000002,0.0
150,33,Tuesday,2,1.9666690000000002,0.0
120,32,Monday,3,0.81666899999999987,0.0
121,32,Sunday,3,0.81667,0.0
122,32,Saturday,3,1.233337,0.0
150,33,Tuesday,3,1.000001,0.0
145,33,Thursday,3,0.76666800000000013,0.0
149,33,Wednesday,3,0.55000299999999991,0.0
126,33,Friday,3,1.7166709999999998,0.0
121,32,Sunday,4,1.016669,0.0
149,33,Wednesday,4,1.8000020000000003,0.0
150,33,Tuesday,4,1.600002,0.0
120,32,Monday,4,1.7166679999999999,0.0
126,33,Friday,4,1.5500030000000005,0.0
144,33,Thursday,4,1.100002,0.0
122,32,Saturday,4,1.050001,0.0
149,33,Wednesday,5,13.366671000000002,0.0
150,33,Tuesday,5,20.683338,0.0
120,32,Monday,5,14.783336,0.0
144,33,Thursday,5,13.966668000000002,0.0
122,32,Saturday,5,1.2500010000000004,0.0
126,33,Friday,5,11.366668999999998,0.0
121,32,Sunday,5,1.4833370000000001,0.0
144,33,Thursday,6,25.633334999999995,0.01
149,33,Wednesday,6,20.516668000000003,0.0
150,33,Tuesday,6,23.083336000000006,0.0
122,32,Saturday,6,5.5999999999999988,0.0
125,33,Friday,6,22.950001000000004,0.01
121,32,Sunday,6,5.7000019999999987,0.0
120,32,Monday,6,17.100004000000006,0.0
144,33,Thursday,7,27.783334000000007,0.01
149,33,Wednesday,7,25.066666,0.01
150,33,Tuesday,7,30.666671000000004,0.01
125,33,Friday,7,28.816666,0.01
120,32,Monday,7,24.283330000000007,0.01
121,32,Sunday,7,13.183337,0.0
122,32,Saturday,7,16.750002000000002,0.0
150,33,Tuesday,8,37.183335999999983,0.01
120,32,Monday,8,32.816668000000007,0.01
144,33,Thursday,8,36.550004,0.01
149,33,Wednesday,8,36.900002000000008,0.01
122,32,Saturday,8,27.600000999999992,0.01
125,33,Friday,8,32.516671,0.01
121,32,Sunday,8,24.033332999999995,0.01
144,33,Thursday,9,35.150001000000017,0.01
149,33,Wednesday,9,37.283331999999994,0.01
150,33,Tuesday,9,32.250001000000012,0.01
125,33,Friday,9,31.649999999999988,0.01
121,32,Sunday,9,29.883331999999985,0.01
122,32,Saturday,9,38.716669999999993,0.01
120,32,Monday,9,33.833332999999989,0.01
149,33,Wednesday,10,34.716664,0.01
150,33,Tuesday,10,47.133332999999993,0.01
125,33,Friday,10,27.466668000000006,0.01
143,33,Thursday,10,42.900002000000008,0.01
120,32,Monday,10,40.900005000000007,0.01
121,32,Sunday,10,40.649999000000008,0.01
121,32,Saturday,10,39.416668000000008,0.01
121,32,Saturday,11,46.083334999999991,0.01
125,33,Friday,11,32.716669999999993,0.01
141,33,Thursday,11,39.700003999999979,0.01
149,33,Wednesday,11,38.583329,0.01
121,32,Sunday,11,34.433332,0.01
150,33,Tuesday,11,40.799999999999983,0.01
120,32,Monday,11,29.116668000000004,0.01
139,33,Thursday,12,44.783333000000013,0.01
121,32,Sunday,12,35.50000099999999,0.01
121,32,Saturday,12,48.850007000000012,0.01
125,33,Friday,12,35.333332000000013,0.01
150,33,Tuesday,12,57.049996000000014,0.01
119,32,Monday,12,38.233330000000016,0.01
147,33,Wednesday,12,45.23333,0.01
121,32,Sunday,13,37.399994,0.01
121,32,Saturday,13,59.199997000000032,0.02
125,33,Friday,13,35.400003,0.01
119,32,Monday,13,34.583331000000015,0.01
138,33,Thursday,13,35.399997999999989,0.01
147,33,Wednesday,13,39.599999999999987,0.01
150,33,Tuesday,13,46.616668000000011,0.01
121,32,Saturday,14,47.750002,0.01
150,33,Tuesday,14,39.383334,0.01
119,32,Monday,14,31.016669000000007,0.01
121,32,Sunday,14,40.683334000000009,0.01
138,33,Thursday,14,45.316666999999995,0.01
147,33,Wednesday,14,47.500004000000004,0.01
125,33,Friday,14,37.983324999999994,0.01
119,32,Monday,15,26.533338,0.01
121,32,Sunday,15,36.149998999999994,0.01
147,33,Wednesday,15,35.916664999999995,0.01
150,33,Tuesday,15,35.550001999999992,0.01
125,33,Friday,15,30.416669000000013,0.01
132,33,Thursday,15,34.633335,0.01
121,32,Saturday,15,38.466667,0.01
121,32,Saturday,16,34.916665000000009,0.01
124,32,Friday,16,36.83333600000001,0.01
119,32,Monday,16,38.1,0.01
120,32,Sunday,16,29.883329999999997,0.01
147,33,Wednesday,16,41.566667999999979,0.01
150,33,Tuesday,16,44.916670000000018,0.01
126,33,Thursday,16,41.599997000000009,0.01
150,33,Tuesday,17,58.333331000000022,0.01
118,32,Monday,17,43.41667,0.01
120,32,Sunday,17,41.199996999999996,0.01
121,32,Saturday,17,34.200000999999993,0.01
147,33,Wednesday,17,64.050002999999975,0.01
126,33,Thursday,17,46.733332000000004,0.01
124,32,Friday,17,39.066667999999993,0.01
120,32,Sunday,18,37.983331999999976,0.01
147,33,Wednesday,18,61.816670999999985,0.01
150,33,Tuesday,18,57.116664000000007,0.01
118,32,Monday,18,46.850004,0.01
124,32,Friday,18,46.733334,0.01
126,33,Thursday,18,41.633335,0.01
121,32,Saturday,18,38.883334,0.01
147,33,Wednesday,19,51.633334999999988,0.01
150,33,Tuesday,19,53.616665000000026,0.01
118,32,Monday,19,44.899996999999992,0.01
126,33,Thursday,19,43.13333699999999,0.01
121,32,Saturday,19,43.150000999999989,0.01
124,32,Friday,19,49.116666999999985,0.01
120,32,Sunday,19,37.366662000000012,0.01
150,33,Tuesday,20,37.083334000000022,0.01
126,33,Thursday,20,30.033331000000004,0.01
147,33,Wednesday,20,34.733337999999996,0.01
120,32,Sunday,20,23.366669000000009,0.01
121,32,Saturday,20,29.600001000000006,0.01
124,32,Friday,20,34.700003,0.01
118,32,Monday,20,27.016670999999995,0.01
126,33,Thursday,21,28.533334999999994,0.01
146,33,Wednesday,21,23.883333000000004,0.0
150,33,Tuesday,21,32.866665,0.01
124,32,Friday,21,23.449991999999998,0.01
121,32,Saturday,21,25.533335,0.01
118,32,Monday,21,25.066669000000005,0.01
120,32,Sunday,21,22.766666,0.01
145,33,Wednesday,22,18.950001000000007,0.0
121,32,Saturday,22,23.183334000000009,0.01
124,32,Friday,22,20.366666000000009,0.01
126,33,Thursday,22,20.433334000000006,0.0
118,32,Monday,22,14.149996000000007,0.0
120,32,Sunday,22,12.983335999999998,0.0
150,33,Tuesday,22,26.483336000000008,0.01
121,32,Saturday,23,11.183332000000005,0.0
123,32,Friday,23,14.4,0.0
126,33,Thursday,23,8.9000049999999984,0.0
120,32,Sunday,23,7.7000039999999972,0.0
145,33,Wednesday,23,12.550002,0.0
150,33,Tuesday,23,14.049999999999997,0.0
118,32,Monday,23,6.4166659999999967,0.0
