num_of_entries,num_of_people,weekday,hour,total_steps_count,avergage_steps_per_person_per_entry
150,33,Tuesday,8,65111,13.15
121,32,Saturday,16,61311,15.83
145,33,Thursday,0,4536,0.95
120,32,Monday,8,61559,16.03
124,32,Friday,16,61381,15.47
149,33,Wednesday,0,4652,0.95
144,33,Thursday,8,60718,12.78
119,32,Monday,16,66135,17.37
123,32,Saturday,0,6790,1.73
149,33,Wednesday,8,65723,13.37
120,32,Sunday,16,43627,11.36
126,33,Friday,0,5579,1.34
150,33,Tuesday,17,92346,18.66
121,32,Sunday,1,6373,1.65
144,33,Thursday,9,61383,12.92
118,32,Monday,17,57739,15.29
122,32,Saturday,1,2303,0.59
149,33,Wednesday,9,62626,12.74
120,32,Sunday,17,64677,16.84
126,33,Friday,1,2395,0.58
150,33,Tuesday,9,55721,11.26
121,32,Saturday,17,56306,14.54
145,33,Thursday,1,2358,0.49
122,32,Saturday,2,1656,0.42
149,33,Wednesday,10,55444,11.28
120,32,Sunday,18,57685,15.02
126,33,Friday,2,2051,0.49
150,33,Tuesday,10,78202,15.8
147,33,Wednesday,18,109386,22.55
120,32,Monday,2,812,0.21
125,33,Friday,10,42889,10.4
150,33,Tuesday,18,95558,19.3
121,32,Sunday,2,6006,1.55
143,33,Thursday,10,73953,15.67
118,32,Monday,18,78544,20.8
121,32,Saturday,11,77206,19.94
147,33,Wednesday,19,88683,18.28
120,32,Monday,3,1025,0.27
125,33,Friday,11,55361,13.42
150,33,Tuesday,19,86919,17.56
121,32,Sunday,3,579,0.15
141,33,Thursday,11,65641,14.11
118,32,Monday,19,74200,19.65
122,32,Saturday,3,1156,0.3
149,33,Wednesday,11,65672,13.36
150,33,Tuesday,3,856,0.17
150,33,Tuesday,20,54687,11.05
121,32,Sunday,4,684,0.18
139,33,Thursday,12,78056,17.02
149,33,Wednesday,4,2136,0.43
121,32,Sunday,12,54795,14.15
126,33,Thursday,20,45586,10.96
150,33,Tuesday,4,2545,0.51
121,32,Saturday,12,81317,21.0
147,33,Wednesday,20,48849,10.07
120,32,Monday,4,2257,0.59
125,33,Friday,12,56382,13.67
149,33,Wednesday,5,5481,1.11
121,32,Sunday,13,60262,15.56
126,33,Thursday,21,46548,11.19
150,33,Tuesday,5,12800,2.59
121,32,Saturday,13,94371,24.37
146,33,Wednesday,21,30946,6.42
120,32,Monday,5,3798,0.99
125,33,Friday,13,61772,14.98
150,33,Tuesday,21,52164,10.54
144,33,Thursday,5,7808,1.64
119,32,Monday,13,63302,16.62
124,32,Friday,21,34103,8.59
121,32,Saturday,14,84497,21.82
145,33,Wednesday,22,29389,6.14
150,33,Tuesday,14,64817,13.09
121,32,Saturday,22,37245,9.62
144,33,Thursday,6,36990,7.78
119,32,Monday,14,52931,13.9
124,32,Friday,22,30320,7.64
149,33,Wednesday,6,27130,5.52
121,32,Sunday,14,69959,18.07
126,33,Thursday,22,33793,8.13
150,33,Tuesday,6,35712,7.21
121,32,Saturday,23,15415,3.98
144,33,Thursday,7,48114,10.13
119,32,Monday,15,40547,10.65
123,32,Friday,23,20146,5.12
149,33,Wednesday,7,39935,8.12
121,32,Sunday,15,60382,15.59
126,33,Thursday,23,12533,3.01
150,33,Tuesday,7,57476,11.61
147,33,Wednesday,15,57328,11.82
120,32,Sunday,23,13279,3.46
125,33,Friday,7,51512,12.49
150,33,Tuesday,15,53040,10.72
150,33,Tuesday,0,4252,0.86
122,32,Saturday,8,46350,11.87
147,33,Wednesday,16,68238,14.07
120,32,Monday,0,3601,0.94
125,33,Friday,8,56091,13.6
150,33,Tuesday,16,78862,15.93
121,32,Sunday,0,9994,2.58
147,33,Wednesday,17,108726,22.41
120,32,Monday,1,2074,0.54
